@relation 'buy-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R5,11-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R1,2-weka.filters.unsupervised.attribute.Remove-R2,7,10,11'

@attribute AGE {'\'(-inf--1.418018]\'','\'(-1.418018--0.305233]\'','\'(-0.305233-0.807551]\'','\'(0.807551-1.920336]\'','\'(1.920336-inf)\''}
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute FICO {'\'(-inf--2.304291]\'','\'(-2.304291--1.157735]\'','\'(-1.157735--0.011179]\'','\'(-0.011179-1.135378]\'','\'(1.135378-2.281934]\'','\'(2.281934-inf)\''}
@attribute OWNHOME {0,1}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute MOVED {0,1}
@attribute class {0,1}

@data
'\'(-1.418018--0.305233]\'',F,0,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',M,1,'\'(-1.157735--0.011179]\'',1,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-1.157735--0.011179]\'',1,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-0.011179-1.135378]\'',1,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',F,1,'\'(-1.157735--0.011179]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',F,0,'\'(-0.011179-1.135378]\'',0,2.428841,1.695199,0,0
'\'(-0.305233-0.807551]\'',F,1,'\'(-0.011179-1.135378]\'',1,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-0.011179-1.135378]\'',1,2.428841,1.695199,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-1.157735--0.011179]\'',0,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',F,0,'\'(-2.304291--1.157735]\'',0,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',F,0,'\'(-1.157735--0.011179]\'',1,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',M,1,'\'(-0.011179-1.135378]\'',1,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',F,0,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',M,1,'\'(-1.157735--0.011179]\'',1,-0.379649,-0.509996,1,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-2.304291--1.157735]\'',0,2.428841,1.695199,0,0
'\'(-1.418018--0.305233]\'',M,0,'\'(-0.011179-1.135378]\'',0,2.428841,1.695199,0,0
'\'(-inf--1.418018]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,1,0
'\'(-1.418018--0.305233]\'',F,0,'\'(-1.157735--0.011179]\'',1,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',F,1,'\'(-0.011179-1.135378]\'',1,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,0,'\'(-0.011179-1.135378]\'',1,-0.379649,-0.509996,0,0
'\'(1.920336-inf)\'',F,0,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
?,?,?,'\'(-0.011179-1.135378]\'',?,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',F,0,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-1.157735--0.011179]\'',0,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',M,1,'\'(-0.011179-1.135378]\'',1,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',M,0,'\'(-2.304291--1.157735]\'',0,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-1.157735--0.011179]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-1.157735--0.011179]\'',0,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',F,0,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,0,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-1.157735--0.011179]\'',0,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',M,1,'\'(-1.157735--0.011179]\'',0,2.428841,1.695199,0,0
'\'(-0.305233-0.807551]\'',F,1,'\'(-1.157735--0.011179]\'',0,-0.379649,1.695199,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-inf--2.304291]\'',0,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',F,0,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
?,?,?,'\'(-0.011179-1.135378]\'',?,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',F,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',F,1,'\'(-0.011179-1.135378]\'',0,2.428841,1.695199,0,0
'\'(-0.305233-0.807551]\'',F,1,'\'(-2.304291--1.157735]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,0,'\'(-1.157735--0.011179]\'',1,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,0,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',M,0,'\'(1.135378-2.281934]\'',0,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',M,1,'\'(-1.157735--0.011179]\'',0,-0.379649,-0.509996,0,0
'\'(-inf--1.418018]\'',M,1,'\'(-0.011179-1.135378]\'',0,2.428841,1.695199,1,0
'\'(-0.305233-0.807551]\'',M,0,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-1.157735--0.011179]\'',0,-0.379649,1.695199,0,0
'\'(-0.305233-0.807551]\'',M,0,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,0,'\'(-1.157735--0.011179]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',F,0,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',F,0,'\'(-1.157735--0.011179]\'',1,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',M,1,'\'(-2.304291--1.157735]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,0,'\'(-0.011179-1.135378]\'',0,-0.379649,1.695199,0,0
'\'(0.807551-1.920336]\'',F,1,'\'(-0.011179-1.135378]\'',0,-0.379649,1.695199,0,0
'\'(-0.305233-0.807551]\'',M,0,'\'(-1.157735--0.011179]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',F,0,'\'(2.281934-inf)\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-2.304291--1.157735]\'',0,-0.379649,1.695199,0,0
'\'(0.807551-1.920336]\'',F,1,'\'(-0.011179-1.135378]\'',0,2.428841,1.695199,0,0
'\'(-1.418018--0.305233]\'',M,0,'\'(-1.157735--0.011179]\'',0,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-1.418018--0.305233]\'',M,0,'\'(-1.157735--0.011179]\'',0,2.428841,3.900395,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',F,1,'\'(1.135378-2.281934]\'',0,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',F,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
'\'(0.807551-1.920336]\'',M,1,'\'(-1.157735--0.011179]\'',0,2.428841,1.695199,0,0
'\'(-0.305233-0.807551]\'',F,0,'\'(-0.011179-1.135378]\'',1,-0.379649,-0.509996,0,0
'\'(-0.305233-0.807551]\'',M,1,'\'(-0.011179-1.135378]\'',0,-0.379649,-0.509996,0,0
